"gene_id","logP"
"isogroup11404_c0_g1",-0.198060423593358
"isogroup114054_c0_g1",-0.87685153352633
"isogroup114064_c0_g1",0
"isogroup11406_c0_g1",0.676478004698594
"isogroup114072_c0_g1",-0.0971474917130303
"isogroup114083_c0_g1",0
"isogroup114085_c0_g1",0.0274831346140432
"isogroup11412_c0_g1",-0.288790676847742
"isogroup11413_c0_g1",-1.47177174160087
"isogroup114146_c0_g1",-2.20797411961778
"isogroup114152_c0_g1",2.48359114521859
"isogroup114171_c0_g1",0.0631224360941608
"isogroup11417_c0_g1",1.15785373040135
"isogroup114183_c0_g1",0
"isogroup114186_c0_g1",0.797353357253146
"isogroup11419_c0_g1",0.083200181987637
"isogroup114207_c0_g1",0
"isogroup11421_c0_g1",-1.61868292471301
"isogroup11425_c0_g1",-2.99070066662031
"isogroup114264_c0_g1",0
"isogroup114307_c0_g1",0.5130251081215
"isogroup114326_c0_g1",0.158125723396875
"isogroup114359_c0_g1",0
"isogroup114389_c0_g1",0.13163988337704
"isogroup114411_c0_g1",-0.898741119819606
"isogroup114430_c0_g1",-0.0110330095830885
"isogroup114469_c0_g1",0
"isogroup114479_c0_g1",NA
"isogroup114483_c0_g1",0.171514434658644
"isogroup114487_c0_g1",-0.960439532869828
"isogroup114493_c0_g1",0
"isogroup114500_c0_g1",-0.478230822687505
"isogroup114528_c0_g1",NA
"isogroup11454_c0_g1",-0.0127387988210169
"isogroup114589_c0_g1",0.280319465366221
"isogroup11464_c0_g1",0
"isogroup114650_c0_g1",0.110662209563291
"isogroup114667_c0_g1",0
"isogroup114678_c0_g1",0
"isogroup11467_c0_g1",0
"isogroup114752_c0_g1",0
"isogroup114764_c0_g1",0
"isogroup11477_c0_g1",-0.348060506089342
"isogroup114789_c0_g1",NA
"isogroup11479_c0_g1",0
"isogroup114812_c0_g1",NA
"isogroup11484_c0_g1",NA
"isogroup114881_c0_g1",-0.0110330095830885
"isogroup11488_c0_g1",-0.478230822687505
"isogroup114893_c0_g1",0
"isogroup114906_c0_g1",-0.414291744521807
"isogroup11490_c0_g1",NA
"isogroup114910_c0_g1",0
